,parentobjectid,parentprojectid,parentname,parentid,childobjectid,childprojectid,childname,childid,fullpathname,parentlevelsbelowroot
0,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27810,4829,Flexibility pipeline Baseline,Q2191-BL,Q2191-BL,1
1,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27811,4829,COMMISSIONING,CS,Q2191-BL.CS,1
2,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27812,4829,CONSTRUCTION,CN,Q2191-BL.CN,1
3,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27813,4829,CONTRACTS / PROCUREMENT,PR,Q2191-BL.PR,1
4,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27814,4829,PROJECT KEY MILESTONES,ML,Q2191-BL.ML,1
5,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27815,4829,ENGINEERING,DD,Q2191-BL.DD,1
6,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27816,4829,PROCUREMENT - POST AWARD,1,Q2191-BL.1,1
7,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27817,4829,COM- Pipe Loop for Flash Water,WL,Q2191-BL.CS.WL,1
8,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27818,4829,PRC - Silica Line,SL,Q2191-BL.PR.SL,1
9,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27819,4829,COM- Slurry Transfert - DWS to local Tanks,TF,Q2191-BL.CS.TF,1
10,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27820,4829,COM- Silica Line,1,Q2191-BL.CS.1,1
11,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27821,4829,MLS- Slurry Transfert - DWS to local Tanks,TF,Q2191-BL.ML.TF,1
12,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27822,4829,PRC- Slurry Transfert - DWS to local Tanks,TF,Q2191-BL.1.TF,1
13,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27823,4829,"CONS- General (VDS, Fire Protection, Access Upgrade)",CM,Q2191-BL.CN.CM,1
14,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27824,4829,"COM- Additional Storage Tanks (TS, HS, BA)",TK,Q2191-BL.CS.TK,1
15,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27825,4829,PRC- Slurry Transfert - DWS to local Tanks,TF,Q2191-BL.PR.TF,1
16,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27826,4829,PRC - Silica Line,SL,Q2191-BL.1.SL,1
17,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27827,4829,"ENG- Common (VDS, Fire Protection, Access Upgrade)",CM,Q2191-BL.DD.CM,1
18,27810,4829,Flexibility pipeline Baseline,Q2191-BL,27828,4829,"PRC - General (VDS, Fire Protection, Access Upgrade)",CM,Q2191-BL.1.CM,1
