,Id,objectid,projectobjectid,wbsobjectid,wbsname,status,name,baselinestartdate,baselinefinishdate,startdate,finishdate,baselineduration,remainingduration,atcompletionduration,schedulepercentcomplete,primaryresourceobjectid,plannedlaborunits,actuallaborunits,floatpath,floatpathorder,totalfloat,unitspercentcomplete,type,actualstartdate,actualfinishdate,earlystartdate,earlyfinishdate,latestartdate,latefinishdate,calendarname,freefloat
0,FP-F-330,557735,4829,27850,PRC- Fire Protection,Completed,FP - Delivery of Novec Gas via new contractor,2020-07-01 00:00:00,2020-07-01 00:00:00,2020-07-01 00:00:00,2020-07-01 00:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,,.0000000000,Task Dependent,2020-07-01 00:00:00,2020-07-01 00:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2022-02-15 08:00:00,2022-02-15 08:00:00,COVID-19 3 and 4,
1,ST-C-20b10,698346,4829,27916,BA Tanks - Civil Works,Not Started,Fixed aragement of tanks,2022-09-30 16:00:00,2022-09-30 16:00:00,2024-02-01 16:00:00,2024-02-01 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,8,4,-6535.800000,.0000000000,Finish Milestone,,,2024-02-01 16:00:00,2024-02-01 16:00:00,2020-07-06 08:12:00,2020-07-06 08:12:00,COVID-19 Construction,
2,ST-C-20b20,897428,4829,27916,BA Tanks - Civil Works,Not Started,BA - Validation of the new Tanks Positions,2022-08-31 08:00:00,2022-08-31 08:00:00,2023-12-29 08:00:00,2023-12-29 08:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,-6351.800000,.0000000000,Finish Milestone,,,2023-12-29 08:00:00,2023-12-29 08:00:00,2020-07-06 08:12:00,2020-07-06 08:12:00,COVID-19 Construction,
3,ST-C-38a10,927512,4829,27930,HS Tanks - Piping,Not Started,Deivery Of Valves,2022-12-02 08:00:00,2022-12-02 08:00:00,2024-03-12 08:00:00,2024-03-12 08:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,-4048.000000,.0000000000,Start Milestone,,,2024-03-12 08:00:00,2024-03-12 08:00:00,2022-03-14 16:00:00,2022-03-14 16:00:00,COVID-19 Construction,
4,ST-C-800,927513,4829,27917,BA Tanks - Piping,Not Started,Delivery Of Valves,2023-03-29 10:00:00,2023-03-29 10:00:00,2024-08-06 10:00:00,2024-08-06 10:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,-4834.000000,.0000000000,Start Milestone,,,2024-08-06 10:00:00,2024-08-06 10:00:00,2022-03-14 16:00:00,2022-03-14 16:00:00,COVID-19 Construction,
5,ST-C-840,927519,4829,27911,TS Tanks - Piping,Not Started,Delivery Of Valves,2023-02-28 08:00:00,2023-02-28 08:00:00,2024-07-04 08:00:00,2024-07-04 08:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,,,-4664.000000,.0000000000,Start Milestone,,,2024-07-04 08:00:00,2024-07-04 08:00:00,2022-03-14 16:00:00,2022-03-14 16:00:00,COVID-19 Construction,
6,A1010,2179677,4829,27818,PRC - Silica Line,Not Started,New contract PO Awarded and Signed by OCP for Terminal Station and Beni Amir,2022-10-31 16:00:00,2022-10-31 16:00:00,2024-03-01 16:00:00,2024-03-01 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,1,6,-7463.800000,.0000000000,Finish Milestone,,,2024-03-01 16:00:00,2024-03-01 16:00:00,2020-05-26 10:12:00,2020-05-26 10:12:00,COVID-19 3 and 4,
7,FP-P-140,2605585,4829,27874,PRC- Fire Protection,Completed,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,2020-03-28 00:00:00,2020-04-08 00:00:00,2020-03-28 00:00:00,2020-04-08 00:00:00,28.0000000000,.000000,28.0000000000,100.0000000000,,.000000,.000000,,,,.0000000000,Task Dependent,2020-03-28 00:00:00,2020-04-08 00:00:00,2023-12-29 08:00:00,2023-12-29 08:00:00,2022-03-15 00:00:00,2022-03-15 00:00:00,COVID-19 3 and 4,
8,ST-P-140,3889602,4829,27818,PRC - Silica Line,Not Started,Slurry Tks - Lancement AO _ Silica Line Phase 2,2022-08-31 08:00:00,2022-08-31 08:00:00,2023-12-29 08:00:00,2023-12-29 08:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,1,1,-7463.800000,.0000000000,Finish Milestone,,,2023-12-29 08:00:00,2023-12-29 08:00:00,2020-02-19 08:12:00,2020-02-19 08:12:00,COVID-19 3 and 4,
9,ST-P-150,3889604,4829,27818,PRC - Silica Line,Not Started,Slurry Tks - Ouverture des offres techniques  _ Silica Line Phase 2,2022-09-28 16:00:00,2022-09-28 16:00:00,2024-01-30 16:00:00,2024-01-30 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,1,2,-7463.800000,.0000000000,Finish Milestone,,,2024-01-30 16:00:00,2024-01-30 16:00:00,2020-03-20 10:12:00,2020-03-20 10:12:00,COVID-19 3 and 4,
10,ST-P-160,3889605,4829,27818,PRC - Silica Line,Not Started,Slurry Tks - Rapport d’harmonisation  _ Silica Line Phase 2,2022-10-12 16:00:00,2022-10-12 16:00:00,2024-02-13 16:00:00,2024-02-13 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,1,3,-7463.800000,.0000000000,Finish Milestone,,,2024-02-13 16:00:00,2024-02-13 16:00:00,2020-04-17 10:12:00,2020-04-17 10:12:00,COVID-19 3 and 4,
11,ST-P-170,3889606,4829,27818,PRC - Silica Line,Not Started,Slurry Tks - Ouverture commerciale _ Silica Line Phase 2,2022-10-24 16:00:00,2022-10-24 16:00:00,2024-02-23 16:00:00,2024-02-23 16:00:00,.0000000000,.000000,.0000000000,100.0000000000,,.000000,.000000,1,4,-7463.800000,.0000000000,Finish Milestone,,,2024-02-23 16:00:00,2024-02-23 16:00:00,2020-05-12 10:12:00,2020-05-12 10:12:00,COVID-19 3 and 4,
