,activityobjectid,activitycodetypeobjectid,activitycodeobjectid,projectobjectid,activitycodedescription,activitycodetypename,activitycodetypescope,activitycodevalue,activityid,activityname,issecurecode,lastupdateuser,lastupdatedate,createuser,createdate
0,2605585,2274,13282,4829,Phase 4 - Design,G02 - JSTEPS,AS_Global,P4,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2023-06-04 15:40:21.767000000,Goudiabys,2020-10-06 16:38:30.650000000
1,2605585,2275,13286,4829,PMC - Project Management Contract,G05 - Contract Type,AS_Global,1,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:30.703000000
2,2605585,2276,13287,4829,JESA Morocco,G07 - Location,AS_Global,1,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:30.743000000
3,2605585,2277,13288,4829,Flexibility,G08 - Project Gender,AS_Global,B,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:30.827000000
4,2605585,2278,13370,4829,MM - Contract Signature,G10 - OCP Field - Milestones,AS_Global,CON,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:30.870000000
5,2605585,2279,13293,4829,ISBL & OSBL Common,G11 - Battery Limit,AS_Global,C0,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:30.910000000
6,2605585,2280,13294,4829,JESA,G12 - Supplier / Subs,AS_Global,JSA,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:30.957000000
7,2605585,2281,13310,4829,Not applicable,G14 - Equipment Type,AS_Global,N/A,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:31
8,2605585,2282,13315,4829,Not applicable,G15 - Cx Systems,AS_Global,N/A,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:31.050000000
9,2605585,2284,13327,4829,Initial Scope,G17 - Change Mgmt,AS_Global,INS,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:31.087000000
10,2605585,2285,13328,4829,Not applicable,G18 - Early Warning,AS_Global,N/A,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:31.130000000
11,2605585,2286,13331,4829,Not applicable,G18a - Warning Activity Identifier,AS_Global,N/A,FP-P-140,Concrétisation avenant de transfert reliquat du projet de CIM à SIIT,N,Goudiabys,2022-10-26 19:03:08.510000000,Goudiabys,2020-10-06 16:38:31.170000000
