,HierarchyPathID,CostObjectID,CostObjectName,OriginalGrossMargin,ActualGrossMargin,EACCostMargin,ClientPostedHours,ClientPostedCost,CostObjectHierarchyLevel,ProjectStartDate,ProjectEndDate,TimePeriod
0,QU9124.01,01,OCP Cadmium Removal Feasibility Study,531188,0,495060,1335,2275319,1,2021-01-29,2021-03-26,2024-02
1,QB2108.01,01,Home Office Suffix 01,0,0,0,916,430644,1,2022-01-03,2022-03-31,2024-02
2,QU9205.02,02,Column Flotation Testing,167001,0,167001,1636,1993251,1,2021-03-12,2021-06-12,2024-02
3,Q12660.11,11,Home Office Suffix 11,0,0,0,3498,1323880,1,2020-05-25,2020-09-30,2024-02
4,Q40360.11,11,OCP Digital Cockpit,0,0,-22628,3900,2715727,1,2021-09-13,2022-01-14,2024-02
5,Q40500.11,11,SAEDM,0,0,0,216,175320,1,2022-07-04,2022-07-22,2024-02
6,QW2104.12,12,Interface,1291665,629919,629919,3832,3344619,1,2021-03-29,2021-10-29,2024-02
7,Q66550.31,31,PFC Piperack,0,0,4176125,31986,15203747,1,2019-08-24,2020-06-26,2024-02
8,Q31110.51,51,Phosphoric Acid Treatment-Construction,3703079,-617010,3703079,15150,9995353,1,2019-09-28,2020-06-26,2024-02
9,P4.EM,EM,ENGINEERING MANAGEMENT,0,0,0,0,0,1,,,2024-02
10,Q82150.P1,P1,BME Topographical Service,91678,0,91678,0,1619650,1,2022-09-01,2024-02-20,2024-02
11,Q10330.01,01,[New],0,0,0,0,0,1,2018-05-01,2021-05-31,2024-03
12,QP2100.01,01,Home Office Suffix 01,0,0,-840920,244,131811,1,2021-12-16,2022-01-16,2024-03
13,QE2228.01,01,Home Office Suffix 01,301835,116990,289808,880,3129039,1,2023-02-01,2023-06-30,2024-03
14,QW2310.02,02,STEP MARRAKECH CONCEPTUAL,1369415,781262,1473705,6142,3905077,1,2023-06-01,2023-08-31,2024-03
15,QWA140.11,11,Home Office Suffix 11,0,0,-5317913,6848,8857240,1,2020-07-01,2022-06-30,2024-03
